name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.admin_audit_log\` has a foreign key \`admin_audit_log_admin_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""admin_audit_log"",""type"":""table"",""schema"":""public"",""fkey_name"":""admin_audit_log_admin_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_admin_audit_log_admin_audit_log_admin_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.cohort_members\` has a foreign key \`cohort_members_student_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""cohort_members"",""type"":""table"",""schema"":""public"",""fkey_name"":""cohort_members_student_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_cohort_members_cohort_members_student_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.cohorts\` has a foreign key \`cohorts_teacher_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""cohorts"",""type"":""table"",""schema"":""public"",""fkey_name"":""cohorts_teacher_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_cohorts_cohorts_teacher_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.consultation_notes\` has a foreign key \`consultation_notes_author_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""consultation_notes"",""type"":""table"",""schema"":""public"",""fkey_name"":""consultation_notes_author_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_consultation_notes_consultation_notes_author_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.ecg_cases\` has a foreign key \`ecg_cases_diagnosis_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""ecg_cases"",""type"":""table"",""schema"":""public"",""fkey_name"":""ecg_cases_diagnosis_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_ecg_cases_ecg_cases_diagnosis_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.notifications\` has a foreign key \`notifications_sender_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""notifications"",""type"":""table"",""schema"":""public"",""fkey_name"":""notifications_sender_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_notifications_notifications_sender_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.responses\` has a foreign key \`responses_question_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""responses"",""type"":""table"",""schema"":""public"",""fkey_name"":""responses_question_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_responses_responses_question_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.user_items\` has a foreign key \`user_items_item_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""user_items"",""type"":""table"",""schema"":""public"",""fkey_name"":""user_items_item_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_user_items_user_items_item_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.user_items\` has a foreign key \`user_items_placed_at_room_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""user_items"",""type"":""table"",""schema"":""public"",""fkey_name"":""user_items_placed_at_room_id_fkey"",""fkey_columns"":[5]}",unindexed_foreign_keys_public_user_items_user_items_placed_at_room_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.user_question_progress\` has a foreign key \`user_question_progress_question_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""user_question_progress"",""type"":""table"",""schema"":""public"",""fkey_name"":""user_question_progress_question_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_user_question_progress_user_question_progress_question_id_fkey
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_questions_content\` on table \`public.questions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""questions"",""type"":""table"",""schema"":""public""}",unused_index_public_questions_idx_questions_content
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_questions_metadata\` on table \`public.questions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""questions"",""type"":""table"",""schema"":""public""}",unused_index_public_questions_idx_questions_metadata
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_questions_text_en\` on table \`public.questions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""questions"",""type"":""table"",""schema"":""public""}",unused_index_public_questions_idx_questions_text_en
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_topics_parent_id\` on table \`public.topics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""topics"",""type"":""table"",""schema"":""public""}",unused_index_public_topics_idx_topics_parent_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_questions_difficulty\` on table \`public.questions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""questions"",""type"":""table"",""schema"":""public""}",unused_index_public_questions_idx_questions_difficulty
